piece,num_measures,num tokens,num errors,num_detections,precision at 0.9,avg precision,norm recall
Haydn_Joseph_-sq_in_D_major_HobIII63_Op64_No5_-_The_Lark-tposed.None,462.0,16883,3070,9564.2195,0.2888,0.7001665244005858,0.8590637429080178
mendelssohn_5_op44iii_3-tposed.None,126.25,4072,1847,2625.6256000000003,0.6297,0.8444680377736995,0.8532568045041014
sq_Teresa_Carreo-tposed.None,592.25,26112,3161,19678.003200000003,0.1445,0.4664647281243495,0.7452006986095061
Grosse_Fuge_in_B-flat_major_Op133__Ludwig_van_Beethoven-tposed.None,736.5,24059,7525,14233.3044,0.4756,0.7877252440378548,0.861597356012839
mendelssohn_2_op13_4-tposed.None,376.0,11713,4597,7076.994599999999,0.5816,0.8183471336596586,0.8626143015017061
mendelssohn_4_op44ii_2-tposed.None,212.5,7680,1585,3724.032,0.3832,0.7158986498174392,0.8713614872820717
sq_No1_Op41_No1__Robert_Schumann-tposed.None,932.0,34304,6445,17965.004800000002,0.3229,0.7212586171076145,0.8700630190526933
sq_No2__Aleksandr_Borodin-tposed.None,1437.75,41984,11083,23057.612800000003,0.4322,0.7337009720702312,0.8582322417816035
sq_in_A_major_HobIII36_Op20_No6__Joseph_Haydn-tposed.None,382.0,15324,5836,7662.0,0.684,0.8699419231127599,0.9128584717544854
sq_In_D_Minor_D_810_Death_and_The_Maiden__Franz_Schubert-tposed.None,1435.75,55808,6940,30588.364800000003,0.2041,0.6358357548296909,0.8542704790343876
sq_in_C_minor_D703__Franz_Schubert_-_Quartettsatz-tposed.None,309.25,9707,932,5044.727900000001,0.1659,0.6388302713235816,0.8669068021554862
sq_in_C_major_Hob365_Op64_No1__Joseph_Haydn-tposed.None,496.5,18944,3956,8797.5936,0.4045,0.753281293884534,0.8919653080064321
sq_in_B-flat_Major_La_Chasse_HobIII1_Op1_No1__Joseph_Haydn-tposed.None,280.0,8192,2853,4386.816,0.5854,0.8205980880435296,0.8851011809416218
mendelssohn_3_op44i_2-tposed.None,212.5,4608,958,1915.0848,0.4501,0.7997807499850772,0.9060025166585638
mendelssohn_3_op44i_4-tposed.None,264.75,11776,3935,6760.601600000001,0.5239,0.8091646278802251,0.8677162868686037
mendelssohn_5_op44iii_1-tposed.None,369.0,13287,4991,7210.854899999999,0.6219,0.8369875012988789,0.8880606411092906
